Nombre,Precio,CantidadEnStock
Producto 96,95.9,85
Producto 97,22.89,4
Producto 98,23.36,77
Producto 99,42.41,42
Producto 100,79.43,54
Producto 101,74.49,1
Producto 102,28.98,17
Producto 103,57.09,70
Producto 104,66.39,40
Producto 105,71.04,72
Producto 106,95.98,17
Producto 107,84.08,52
Producto 108,63.75,12
Producto 109,69.26,6
Producto 110,24.27,30
Producto 111,65.21,68
Producto 112,77.13,54
Producto 113,29,61
Producto 114,56.65,91
Producto 115,33.82,51
Producto 116,48.57,49
Producto 117,74.52,84
Producto 118,28.46,59
Producto 119,66.4,38
Producto 120,10.09,71
Producto 121,15.32,68
Producto 122,16.16,58
Producto 123,47.67,69
Producto 124,22.25,37
Producto 125,73.53,48
Producto 126,18.54,56
Producto 127,23.29,9
Producto 128,84.32,22
Producto 129,19.13,16
Producto 130,24.99,14
Producto 131,49.24,3
Producto 132,16.69,64
Producto 133,26.21,86
Producto 134,67.87,60
Producto 135,85.93,66
Producto 136,63.22,30
Producto 137,51.28,8
Producto 138,48.43,63
Producto 139,95.72,94
Producto 140,87.01,31
Producto 141,46.03,77
Producto 142,28.13,83
Producto 143,37.9,98
Producto 144,96.88,55
Producto 145,31.17,3
Producto 146,72,2
Producto 147,79.44,84
Producto 148,70.87,30
Producto 149,25.13,30
Producto 150,65.88,27
Producto 151,77.23,50
Producto 152,94.32,79
Producto 153,93.13,66
Producto 154,74.61,6
Producto 155,21.74,67
Producto 156,75.4,74
Producto 157,15.18,61
Producto 158,34.25,72
Producto 159,84.37,66
Producto 160,10.97,17
Producto 161,49.73,96
Producto 162,55.49,70
Producto 163,10.62,78
Producto 164,46.47,27
Producto 165,42.35,63
Producto 166,61.32,46
Producto 167,23.15,18
Producto 168,89.32,48
Producto 169,59.67,85
Producto 170,29.25,37
Producto 171,61.85,18
Producto 172,90.76,70
Producto 173,40.39,34
Producto 174,63.04,38
Producto 175,48.15,23
Producto 176,61.49,36
Producto 177,57.43,12
Producto 178,29.76,12
Producto 179,49.66,2
Producto 180,35.79,21
Producto 181,72.12,87
Producto 182,53.01,8
Producto 183,33.63,50
Producto 184,19.47,11
Producto 185,83.36,51
Producto 186,79.84,44
Producto 187,78.37,13
Producto 188,93.47,71
Producto 189,71.62,98
Producto 190,54.23,66
Producto 191,53.74,82
Producto 192,43.68,72
Producto 193,64.99,13
Producto 194,77.53,73
Producto 195,60.26,56
Producto 196,24.47,35
Producto 197,18.17,42
Producto 198,64.5,35
Producto 199,58.76,6
Producto 200,55.98,4
Producto 201,92.56,61
Producto 202,47.84,2
Producto 203,27.57,13
Producto 204,69.88,84
Producto 205,67.6,18
Producto 206,16.1,26
Producto 207,81.54,99
Producto 208,99.01,24
Producto 209,32.68,90
Producto 210,78.27,56
Producto 211,43.48,45
Producto 212,37.78,77
Producto 213,20.49,13
Producto 214,68.56,48
Producto 215,27.28,8
Producto 216,43.43,53
Producto 217,35.49,59
Producto 218,50.66,9
Producto 219,84.74,68
Producto 220,10.69,71
Producto 221,33.72,44
Producto 222,99.79,43
Producto 223,21.33,3
Producto 224,89.63,23
Producto 225,27.58,29
Producto 226,26.39,56
Producto 227,90.76,5
Producto 228,49.47,34
Producto 229,36.68,95
Producto 230,63.77,26
Producto 231,63.8,92
Producto 232,44.55,57
Producto 233,53.04,35
Producto 234,64.23,65
Producto 235,73.43,26
Producto 236,75.71,13
Producto 237,98.49,88
Producto 238,39.08,35
Producto 239,26.82,40
Producto 240,69.05,49
Producto 241,49.71,58
Producto 242,73.92,95
Producto 243,67.25,98
Producto 244,91.35,12
Producto 245,23.13,73
Producto 246,77.81,4
Producto 247,52.75,45
Producto 248,50.81,67
Producto 249,53.22,63
Producto 250,43.93,7
Producto 251,32.9,80
Producto 252,55.79,34
Producto 253,69.84,6
Producto 254,62.7,93
Producto 255,75.22,49
Producto 256,68.01,7
Producto 257,70.8,65
Producto 258,66.78,4
Producto 259,66.1,44
Producto 260,12.19,10
Producto 261,79.41,24
Producto 262,36.11,10
Producto 263,31.96,55
Producto 264,94.35,95
Producto 265,16.03,10
Producto 266,27.13,56
Producto 267,88.4,85
Producto 268,15.8,22
Producto 269,77.56,16
Producto 270,30.84,13
Producto 271,24.86,53
Producto 272,91.06,96
Producto 273,59.13,65
Producto 274,41.96,49
Producto 275,36.92,64
Producto 276,72.29,93
Producto 277,65.31,54
Producto 278,27.59,82
Producto 279,14.35,37
Producto 280,49.97,83
Producto 281,91.64,41
Producto 282,32.79,17
Producto 283,78.18,33
Producto 284,11.13,37
Producto 285,26.47,25
Producto 286,77.01,13
Producto 287,33.59,76
Producto 288,65.82,34
Producto 289,11.02,18
Producto 290,75.24,60
Producto 291,32.82,94
Producto 292,97.68,32
Producto 293,82.99,7
Producto 294,12.19,37
Producto 295,95.56,52
Producto 296,95.79,68
Producto 297,52.53,92
Producto 298,72.82,86
Producto 299,82.1,66
Producto 300,38.21,71
Producto 301,87.92,60
Producto 302,34.1,53
Producto 303,59.5,1
Producto 304,72.24,25
Producto 305,64.07,56
Producto 306,68.19,4
Producto 307,35.45,68
Producto 308,93.31,93
Producto 309,79.56,80
Producto 310,29.75,94
Producto 311,56.77,42
Producto 312,85.19,52
Producto 313,94.53,62
Producto 314,19.7,25
Producto 315,59.26,71
Producto 316,87.29,14
Producto 317,86.35,8
Producto 318,39.79,58
Producto 319,74.08,62
Producto 320,36.91,68
Producto 321,63.6,93
Producto 322,98.36,9
Producto 323,43.27,35
Producto 324,42,73
Producto 325,33.63,29
Producto 326,55.81,83
Producto 327,66.73,26
Producto 328,85.44,22
Producto 329,73.06,47
Producto 330,62.8,87
Producto 331,27.07,95
Producto 332,89.27,12
Producto 333,78.05,20
Producto 334,27.58,27
Producto 335,43.45,65
Producto 336,34.77,79
Producto 337,14.62,85
Producto 338,82.8,30
Producto 339,73.81,23
Producto 340,18.31,96
Producto 341,93.69,30
Producto 342,84.43,5
Producto 343,20.95,50
Producto 344,47.4,49
Producto 345,48.05,37
Producto 346,46.85,50
Producto 347,57.44,81
Producto 348,12.8,4
Producto 349,85.82,79
Producto 350,92.29,79
Producto 351,83.85,76
Producto 352,70.38,1
Producto 353,21.34,58
Producto 354,64.81,92
Producto 355,60.73,25
Producto 356,42.34,20
Producto 357,20.62,52
Producto 358,57.24,59
Producto 359,34.84,15
Producto 360,67.89,30
Producto 361,15.57,60
Producto 362,48.23,77
Producto 363,72.94,81
Producto 364,96.21,15
Producto 365,84.79,65
Producto 366,83.08,1
Producto 367,94.33,3
Producto 368,62.73,28
Producto 369,35.51,100
Producto 370,76.79,71
Producto 371,96.42,86
Producto 372,23.91,8
Producto 373,69.2,92
Producto 374,60.76,73
Producto 375,63.28,71
Producto 376,74.86,87
Producto 377,85.71,29
Producto 378,20.09,78
Producto 379,21.14,1
Producto 380,14.85,80
Producto 381,30.41,16
Producto 382,93.68,86
Producto 383,30.55,42
Producto 384,32.39,85
Producto 385,86.83,68
Producto 386,40.02,15
Producto 387,16.32,47
Producto 388,59.57,40
Producto 389,83.68,34
Producto 390,64.98,59
Producto 391,17.41,17
Producto 392,52.85,63
Producto 393,76.04,97
Producto 394,64.71,4
Producto 395,50.09,11
Producto 396,98.63,8
Producto 397,17.63,44
Producto 398,97.85,98
Producto 399,30.46,26
Producto 400,68.56,79
Producto 401,60.87,57
Producto 402,48.49,69
Producto 403,24.16,12
Producto 404,98.58,29
Producto 405,44.4,37
Producto 406,81.23,83
Producto 407,44.16,29
Producto 408,67.87,43
Producto 409,31.91,58
Producto 410,10.32,43
Producto 411,72.94,77
Producto 412,48.28,6
Producto 413,22.78,86
Producto 414,76.24,60
Producto 415,85.36,98
Producto 416,89.83,55
Producto 417,35.96,60
Producto 418,34.53,48
Producto 419,47.12,99
Producto 420,48.64,21
Producto 421,22.65,89
Producto 422,27.22,71
Producto 423,98.37,86
Producto 424,71.2,38
Producto 425,24.94,67
Producto 426,30.47,70
Producto 427,80.88,96
Producto 428,37.93,40
Producto 429,59.26,68
Producto 430,32.25,84
Producto 431,89.72,31
Producto 432,49,97
Producto 433,18.5,32
Producto 434,19.82,64
Producto 435,89,33
Producto 436,20.18,25
Producto 437,63.9,64
Producto 438,80.23,10
Producto 439,53.86,94
Producto 440,45.41,45
Producto 441,95.75,20
Producto 442,60.07,33
Producto 443,45.33,20
Producto 444,20.82,55
Producto 445,56.84,78
Producto 446,82.12,74
Producto 447,55.67,96
Producto 448,95.61,50
Producto 449,98.38,4
Producto 450,81.9,79
Producto 451,52.25,85
Producto 452,97.06,11
Producto 453,71.65,88
Producto 454,39.85,16
Producto 455,37.71,60
Producto 456,81.55,24
Producto 457,74.88,40
Producto 458,26.15,22
Producto 459,81.19,1
Producto 460,29.28,20
Producto 461,51.9,19
Producto 462,91.61,34
Producto 463,69.06,17
Producto 464,51.29,33
Producto 465,41.77,52
Producto 466,65,93
Producto 467,37.54,31
Producto 468,89.46,20
Producto 469,45.3,36
Producto 470,38.07,57
Producto 471,94.16,14
Producto 472,63.33,30
Producto 473,58.41,46
Producto 474,40.26,39
Producto 475,82.59,68
Producto 476,12.55,2
Producto 477,60.42,98
Producto 478,22.02,49
Producto 479,98.58,38
Producto 480,61.11,59
Producto 481,15.89,52
Producto 482,63.18,16
Producto 483,99.94,98
Producto 484,36.92,79
Producto 485,37.86,66
Producto 486,12.27,45
Producto 487,54.1,34
Producto 488,98.55,90
Producto 489,47.6,26
Producto 490,16.08,26
Producto 491,55.69,18
Producto 492,18.63,62
Producto 493,63.7,72
Producto 494,69.76,65
Producto 495,24.04,51
Producto 496,94.46,26
Producto 497,61.08,64
Producto 498,83.97,49
Producto 499,17.73,55
Producto 500,39.81,74
